iter	MultiClass
159	0.2486269949
160	0.2464977613
161	0.2442464927
162	0.2418902382
163	0.2399351968
164	0.2378433448
165	0.2360252352
166	0.2340542239
167	0.231957671
168	0.2301108155
169	0.2281012235
170	0.2263542618
171	0.2247197365
172	0.2232190087
173	0.221690543
174	0.2200813372
175	0.2189496884
176	0.2170987416
177	0.2154328745
178	0.2137549145
179	0.2120996759
180	0.2106437731
181	0.2091634059
182	0.2073661486
183	0.2065498122
184	0.2052024102
185	0.2037766508
186	0.2025411003
187	0.2009334724
188	0.1996178501
189	0.1982836382
190	0.1969019303
191	0.1956803799
192	0.1943916629
193	0.1929217089
194	0.1919428821
195	0.1904377855
196	0.1889948338
197	0.1873776532
198	0.1863440721
199	0.1850658192
200	0.1835812459
201	0.1823398385
202	0.1810355328
203	0.1800631018
204	0.1786715793
205	0.1775321264
206	0.176521552
207	0.1753174695
208	0.1740237597
209	0.1730004494
210	0.1721087107
211	0.1711798317
212	0.1701718855
213	0.1690598793
214	0.1679038
215	0.1669389126
216	0.1660213877
217	0.1652444521
218	0.1642877452
219	0.1632505551
220	0.1624427999
221	0.1613707516
222	0.1602710252
223	0.1595734607
224	0.1592295391
225	0.1583642618
226	0.1574903664
227	0.156649914
228	0.1555835362
229	0.1547261762
230	0.1539135742
231	0.1531103072
232	0.1521951342
233	0.1513843955
234	0.1506646175
235	0.1498073225
236	0.1489855823
237	0.1481189765
238	0.1473823061
239	0.1464784769
240	0.1456595924
241	0.1449304217
242	0.1438481564
243	0.142980258
244	0.1421195959
245	0.1412510781
246	0.1404388503
247	0.1396284362
248	0.1388459046
249	0.1380089709
250	0.1372765093
251	0.1365171982
252	0.135691111
253	0.1349030165
254	0.1340864384
255	0.1334449847
256	0.1326621459
257	0.1321769457
258	0.1316686126
259	0.1308332511
260	0.1301170713
261	0.1296022337
262	0.1290371581
263	0.1283452262
264	0.1276465722
265	0.1269294752
266	0.1263009497
267	0.1257432515
268	0.1252091555
269	0.1246085217
270	0.1241050737
271	0.1233979131
272	0.1228368126
273	0.1223032947
274	0.1216161997
275	0.1209620557
276	0.1203741247
277	0.1198278513
278	0.1192999676
279	0.118745529
280	0.1182364574
281	0.1176912809
282	0.1172745075
283	0.1166958788
284	0.1162160818
285	0.115718018
286	0.1152372549
287	0.1147163645
288	0.1142249552
289	0.1136543107
290	0.1131280455
291	0.1127001939
292	0.1120702636
293	0.1115050956
294	0.111071417
295	0.1108276163
296	0.1103422235
297	0.1099246239
298	0.1094527872
299	0.1089667819
300	0.1085040943
301	0.1079890378
302	0.1075859879
303	0.107185409
304	0.1067763676
305	0.1063035615
306	0.1058826349
307	0.1054211047
308	0.1049264531
309	0.1045898739
310	0.1041238581
311	0.1037921936
312	0.1032396042
313	0.1028775496
314	0.1024317598
315	0.102068198
316	0.1017259678
317	0.1013043818
318	0.100942016
319	0.1004778906
320	0.1001125879
321	0.09963014853
322	0.09916076724
323	0.09875720822
324	0.09829879662
325	0.0978875843
326	0.09740411928
327	0.09698351324
328	0.09652132597
329	0.09618092293
330	0.09587240346
331	0.09540843076
332	0.09500998987
333	0.09455790047
334	0.09418140921
335	0.09377755055
336	0.09337882033
337	0.09302111497
338	0.09270625835
339	0.09234775447
340	0.09199402744
341	0.09165869823
342	0.09131894508
343	0.09096249892
344	0.09063412493
345	0.09033241538
346	0.09001212134
347	0.08963589029
348	0.08927729235
349	0.08898221319
350	0.08867851601
351	0.08834500309
352	0.08798262301
353	0.08761186284
354	0.08728606766
355	0.08700890579
356	0.08669535246
357	0.08644074898
358	0.08609316674
359	0.08579433116
360	0.08551975345
361	0.08524913014
362	0.08500939063
363	0.08476372871
364	0.08442284382
365	0.08414090836
366	0.08385142313
367	0.08351533952
368	0.08317852133
369	0.08285960392
370	0.08255242932
371	0.08230416787
372	0.08203501577
373	0.0817571902
374	0.08151794727
375	0.08119956767
376	0.0809922914
377	0.08070855252
378	0.08042512691
379	0.08019395303
380	0.07991057553
381	0.07963821222
382	0.07938786965
383	0.07908431032
384	0.07879724642
385	0.07859428511
386	0.07841874749
387	0.07813570263
388	0.0779040739
389	0.07765436441
390	0.07733673691
391	0.0769981695
392	0.07687587334
393	0.07661324773
394	0.07637311241
395	0.07613617812
396	0.07584197953
397	0.07546547316
398	0.07531405837
399	0.07502969606
400	0.07482999919
401	0.07456675301
402	0.07441614821
403	0.07420190635
404	0.07398751641
405	0.07375340434
406	0.0734995344
407	0.07329137472
408	0.07313721298
409	0.07288179241
410	0.0725667861
411	0.07235070073
412	0.07217590758
413	0.07194000943
414	0.07174617427
415	0.07152813018
416	0.07125798184
417	0.07107224522
418	0.07085370898
419	0.07063314077
420	0.07045358649
421	0.07024731753
422	0.07001266134
423	0.06985623631
424	0.0696464237
425	0.06948150777
426	0.06934057602
427	0.06913102016
428	0.06888258675
429	0.06866925545
430	0.06850144462
431	0.06829524421
432	0.068092027
433	0.06788175494
434	0.06770138408
435	0.06751917453
436	0.06735676662
437	0.06714529822
438	0.06693325535
439	0.06671338927
440	0.06651359838
441	0.06627892856
442	0.06611855123
443	0.06597367805
444	0.06579877346
445	0.06561340797
446	0.06539225917
447	0.06528579933
448	0.06510271056
449	0.06503237534
450	0.06483668409
451	0.06465379003
452	0.0644584916
453	0.06424742941
454	0.06404565357
455	0.06387361396
456	0.06371720916
457	0.06355125876
458	0.06342277927
459	0.063212345
460	0.06305775132
461	0.06285561736
462	0.06275913657
463	0.06257528539
464	0.06241380867
465	0.06225338983
466	0.06208786567
467	0.06196577756
468	0.06181073937
469	0.06167502371
470	0.06153828738
471	0.06132251295
472	0.06111405084
473	0.06093720619
474	0.06074567249
475	0.06062437898
476	0.06049765825
477	0.06034226303
478	0.06021390184
479	0.06007870776
480	0.05990750065
481	0.05980310204
482	0.0596292494
483	0.05947013326
484	0.05931792546
485	0.05919540845
486	0.05905180937
487	0.05892752101
488	0.0588157278
489	0.05865781606
490	0.0584760725
491	0.05835306149
492	0.05820952766
493	0.05803062916
494	0.05788595039
495	0.05776448506
496	0.05764116687
497	0.05750371417
498	0.05735147581
499	0.05720779304
500	0.05708100495
501	0.05694365989
502	0.05681389013
503	0.05672507482
504	0.0566198053
505	0.05646069886
506	0.05633758089
507	0.05619689795
508	0.05604731687
509	0.05593985889
510	0.05583122873
511	0.05569150274
512	0.05555016453
513	0.05543163336
514	0.05529399095
515	0.05516342355
516	0.0550560582
517	0.05492022237
518	0.05482780476
519	0.0546915714
520	0.05455754932
521	0.05445775504
522	0.05435470198
523	0.05420607736
524	0.05409507705
525	0.05397597286
526	0.05385426431
527	0.05371951577
528	0.0535811377
529	0.05348028189
530	0.05335609543
531	0.05323276189
532	0.05310877743
533	0.05297611455
534	0.0528551201
535	0.05276140334
536	0.0526509667
537	0.05251937657
538	0.0523789695
539	0.05224292533
540	0.05211166071
541	0.05196325719
542	0.0518365875
543	0.05175708501
544	0.05163024374
545	0.05151159795
546	0.05139299798
547	0.05128014755
548	0.0511725869
549	0.05107970359
550	0.05097748017
551	0.05081149494
552	0.05069636571
553	0.05058128858
554	0.05048219495
555	0.05035817578
556	0.0502431973
557	0.05011527068
558	0.05001413386
559	0.04992489096
560	0.0498264166
561	0.04969650379
562	0.04956074942
563	0.04943506702
564	0.04931457541
565	0.04922373908
566	0.04910779047
567	0.04895193853
568	0.04887960533
569	0.04879378835
570	0.04868879355
571	0.04858139055
572	0.04849604051
573	0.04838124622
574	0.0482693442
575	0.04816127466
576	0.04807029695
577	0.04796314086
578	0.04788276524
579	0.04775696782
580	0.04766495783
581	0.04752992055
582	0.04741761129
583	0.04727867732
584	0.04720529249
585	0.04708641437
586	0.04697295656
587	0.04684554822
588	0.04670620006
589	0.04659932728
590	0.04648328925
591	0.04641130076
592	0.04632134624
593	0.04622092399
594	0.04611437471
595	0.04601094665
596	0.0459167213
597	0.04578974737
598	0.04569516051
599	0.04560045974
600	0.04550488993
601	0.04537499664
602	0.0452765107
603	0.04517723195
604	0.04509430408
605	0.04498474633
606	0.04489596744
607	0.04478909496
608	0.04468439344
609	0.04462257164
610	0.04451611134
611	0.04445196469
612	0.04437738242
613	0.04426514808
614	0.04416537912
615	0.04409235085
616	0.04399456338
617	0.04389463057
618	0.04381303715
619	0.04373008504
620	0.04364808255
621	0.04355678042
622	0.04347559371
623	0.04339777493
624	0.04331693876
625	0.04323036702
626	0.04318452113
627	0.043097549
628	0.04303193909
629	0.04295386443
630	0.04287263068
631	0.04277213029
632	0.04269620038
633	0.04261036423
634	0.04250344977
635	0.04243342655
636	0.04236247893
637	0.04230709303
638	0.04221390326
639	0.04212600172
640	0.04203004017
641	0.04194446191
642	0.04184516186
643	0.04177567255
644	0.04168752334
645	0.04161434361
646	0.04153315422
647	0.0414532927
648	0.04136318357
649	0.04127999865
650	0.04120376292
651	0.04112487605
652	0.04104221984
653	0.04097945702
654	0.04090993701
655	0.04083916186
656	0.04078873258
657	0.04071498125
658	0.04064953769
659	0.04058818307
660	0.04051150507
661	0.04043579916
662	0.0403620898
663	0.0402730213
664	0.04016816687
665	0.04008373207
666	0.04000472469
667	0.03992784385
668	0.03984064115
669	0.03978215125
670	0.03971234315
671	0.03962932658
672	0.03954426184
673	0.03947452206
674	0.03940931728
675	0.0393339086
676	0.03925966272
677	0.03919622248
678	0.03914193068
679	0.03904470759
680	0.03895263943
681	0.03886075616
682	0.0387920428
683	0.03872710343
684	0.03866947868
685	0.03859234565
686	0.0385301212
687	0.03843658872
688	0.03836756709
689	0.03829286073
690	0.03822387615
691	0.03814293078
692	0.03806594991
693	0.03797863926
694	0.03792308127
695	0.03784599922
696	0.03778998601
697	0.0377165169
698	0.0376486888
699	0.03757740364
700	0.0375047806
701	0.03745474598
702	0.03739729613
703	0.03732320847
704	0.03725546076
705	0.03718748201
706	0.03713186553
707	0.03706790039
708	0.03700951916
709	0.03693129309
710	0.03686857683
711	0.03680301162
712	0.03673773419
713	0.03668104473
714	0.03662841055
715	0.03656659607
716	0.03651278311
717	0.03645545329
718	0.03638109978
719	0.03633180811
720	0.03628604982
721	0.03622483513
722	0.03616240507
723	0.03611305179
724	0.03605382136
725	0.03597950117
726	0.03590455656
727	0.03584426804
728	0.03576708064
729	0.03571385076
730	0.03565597933
731	0.03560515777
732	0.03556611526
733	0.03550518363
734	0.03545862291
735	0.03536067902
736	0.03527549275
737	0.03521550749
738	0.03515057742
739	0.03509995232
740	0.03505177154
741	0.0349898842
742	0.03493774711
743	0.03488513917
744	0.03481512952
745	0.03475892744
746	0.0347023476
747	0.03467418073
748	0.0346295766
749	0.03457855694
750	0.03452712203
751	0.03448317019
752	0.03442801407
753	0.03439116327
754	0.03433624209
755	0.03428065614
756	0.03423095195
757	0.03416298744
758	0.03411359027
759	0.03405151443
760	0.03399350053
761	0.03391410186
762	0.03384859543
763	0.03380133294
764	0.03373468723
765	0.03369041505
766	0.03363431534
767	0.03356436691
768	0.03351018192
769	0.0334405486
770	0.03339030416
771	0.03335782552
772	0.03329970645
773	0.03326441546
774	0.03321448142
775	0.03315649542
776	0.03311541724
777	0.03306118835
778	0.03300743062
779	0.03293243779
780	0.03288042171
781	0.0328288628
782	0.03278365746
783	0.03273679066
784	0.03267127783
785	0.03262289863
786	0.03256039641
787	0.03251881089
788	0.0324664924
789	0.03243616911
790	0.03238911679
791	0.03233262294
792	0.03229640502
793	0.03224730513
794	0.03219603618
795	0.03214443935
796	0.03209947841
797	0.03205036448
798	0.03199503275
799	0.03193978578
800	0.03191422626
801	0.03186871546
802	0.03182558262
803	0.03176867466
804	0.03173254129
805	0.03167242092
806	0.03161177429
807	0.0315546745
808	0.03151340252
809	0.03146614065
810	0.03143675542
811	0.03138851021
812	0.03134095537
813	0.03127854645
814	0.03122068774
815	0.03117782918
816	0.03113423218
817	0.03107574625
818	0.03101625963
819	0.03097233173
820	0.03092335485
821	0.03090172682
822	0.03085348237
823	0.03079635323
824	0.03074746661
825	0.03071713341
826	0.03067899743
827	0.03062463202
828	0.03057698035
829	0.03053842688
830	0.03051107463
831	0.03047026066
832	0.03042532744
833	0.03039020807
834	0.03033890323
835	0.03029684539
836	0.0302366753
837	0.03017997766
838	0.03013507146
839	0.0300926866
840	0.03005374241
841	0.030022483
842	0.02998346874
843	0.0299251966
844	0.02986917534
845	0.02982659841
846	0.02979159731
847	0.02974138527
848	0.02970928558
849	0.02966767027
850	0.02961279888
851	0.02955979808
852	0.02951440419
853	0.0294807219
854	0.02944167783
855	0.02940423549
856	0.02934660698
857	0.02931763461
858	0.02928540617
859	0.02924246007
860	0.02919813413
861	0.029166502
862	0.02912989735
863	0.02906880729
864	0.02903251428
865	0.02898257365
866	0.02895457614
867	0.02890385126
868	0.02886191796
869	0.0288156207
870	0.02877282534
871	0.02874242189
872	0.02870506911
873	0.02865332744
874	0.02861542401
875	0.02857490153
876	0.02854283321
877	0.02852042089
878	0.02847998806
879	0.02844707231
880	0.02840057404
881	0.02836449732
882	0.02832999114
883	0.02829134857
884	0.02825640823
885	0.02820345345
886	0.02816863256
887	0.02812815352
888	0.02809061667
889	0.0280557456
890	0.02801353471
891	0.02796913566
892	0.02792843755
893	0.0278842028
894	0.02785310744
895	0.02779987981
896	0.02776041346
897	0.02772103224
898	0.02768509741
899	0.02764861418
900	0.02761697276
901	0.0275780063
902	0.02755175851
903	0.02752078228
904	0.02747837447
905	0.02744178425
906	0.02740651371
907	0.02737414402
908	0.02732848235
909	0.0273016459
910	0.02726831402
911	0.02723013938
912	0.02719077955
913	0.027153765
914	0.02712090639
915	0.02709549878
916	0.02706576129
917	0.02704014
918	0.02700225891
919	0.02696297074
920	0.0269185152
921	0.0268697752
922	0.02683811534
923	0.0268100536
924	0.02677786918
925	0.02674398515
926	0.02671462767
927	0.02668042097
928	0.02663697335
929	0.02660312671
930	0.02657018494
931	0.02654130579
932	0.02651986821
933	0.02648816511
934	0.0264496663
935	0.02641537612
936	0.02638778532
937	0.02635677122
938	0.02632482633
939	0.02628796659
940	0.02625388869
941	0.02623085387
942	0.02619641955
943	0.02615895283
944	0.02613706533
945	0.02609701792
946	0.02606160437
947	0.02603614189
948	0.02601291738
949	0.02597348153
950	0.02594226155
951	0.02591881718
952	0.02589194085
953	0.02585221912
954	0.02582331375
955	0.02579394023
956	0.02576478212
957	0.02573180739
958	0.02570000557
959	0.02567125861
960	0.02565019697
961	0.02562834083
962	0.0255989323
963	0.02556099162
964	0.02552867791
965	0.02549735853
966	0.02545352132
967	0.02544425004
968	0.02541477851
969	0.02538972434
970	0.02535591538
971	0.02532038889
972	0.02527965297
973	0.0252479964
974	0.02521576296
975	0.02519011378
976	0.025158684
977	0.02513913756
978	0.02509775232
979	0.02505642565
980	0.02501472582
981	0.02498715742
982	0.02496443334
983	0.02493148551
984	0.02489427515
985	0.02486792678
986	0.02483221512
987	0.02479522716
988	0.02477097912
989	0.02474571131
990	0.02471264274
991	0.02468675522
992	0.02466150886
993	0.02462696943
994	0.02459936317
995	0.02456938921
996	0.0245331161
997	0.02450165431
998	0.02447328157
999	0.02445266468
