iter	Passed	Remaining
410	4253	6096
411	4263	6084
412	4272	6073
413	4284	6064
414	4294	6053
415	4304	6042
416	4315	6033
417	4324	6020
418	4334	6011
419	4344	6000
420	4354	5989
421	4364	5977
422	4375	5968
423	4386	5959
424	4396	5948
425	4405	5936
426	4416	5926
427	4425	5914
428	4437	5906
429	4447	5896
430	4458	5886
431	4468	5874
432	4477	5862
433	4486	5851
434	4496	5840
435	4507	5831
436	4517	5819
437	4526	5807
438	4536	5796
439	4545	5785
440	4556	5776
441	4566	5765
442	4576	5754
443	4588	5745
444	4597	5733
445	4606	5721
446	4617	5711
447	4626	5700
448	4637	5690
449	4647	5680
450	4657	5669
451	4667	5658
452	4676	5647
453	4686	5636
454	4697	5627
455	4706	5615
456	4716	5603
457	4725	5591
458	4735	5581
459	4746	5572
460	4757	5562
461	4767	5551
462	4777	5541
463	4786	5529
464	4797	5519
465	4805	5507
466	4814	5494
467	4824	5484
468	4835	5474
469	4845	5464
470	4855	5453
471	4866	5444
472	4877	5434
473	4887	5424
474	4897	5412
475	4906	5400
476	4916	5390
477	4926	5379
478	4936	5368
479	4946	5358
480	4956	5348
481	4968	5339
482	4979	5329
483	4989	5319
484	4998	5308
485	5009	5298
486	5020	5288
487	5030	5277
488	5038	5265
489	5050	5256
490	5060	5245
491	5069	5234
492	5079	5224
493	5089	5213
494	5099	5202
495	5109	5191
496	5119	5181
497	5129	5170
498	5141	5161
499	5151	5151
500	5162	5141
501	5172	5131
502	5183	5121
503	5192	5109
504	5203	5100
505	5213	5089
506	5222	5078
507	5232	5067
508	5242	5057
509	5252	5046
510	5263	5036
511	5273	5026
512	5283	5015
513	5291	5003
514	5301	4992
515	5310	4981
516	5319	4970
517	5329	4959
518	5339	4948
519	5349	4937
520	5358	4926
521	5369	4916
522	5380	4907
523	5389	4895
524	5398	4884
525	5408	4873
526	5418	4863
527	5429	4853
528	5439	4843
529	5448	4831
530	5458	4821
531	5470	4812
532	5480	4802
533	5491	4791
534	5501	4781
535	5512	4771
536	5521	4760
537	5531	4749
538	5541	4739
539	5551	4728
540	5560	4717
541	5571	4707
542	5581	4697
543	5592	4687
544	5602	4676
545	5611	4666
546	5620	4655
547	5631	4644
548	5641	4634
549	5652	4625
550	5662	4614
551	5674	4605
552	5683	4594
553	5692	4582
554	5702	4572
555	5711	4560
556	5720	4549
557	5729	4538
558	5739	4528
559	5749	4517
560	5761	4508
561	5772	4498
562	5781	4487
563	5791	4477
564	5800	4466
565	5810	4455
566	5821	4445
567	5829	4433
568	5840	4423
569	5850	4413
570	5860	4403
571	5871	4393
572	5882	4383
573	5892	4373
574	5902	4362
575	5913	4352
576	5923	4342
577	5934	4332
578	5944	4322
579	5954	4312
580	5964	4301
581	5973	4290
582	5983	4279
583	5992	4268
584	6002	4258
585	6012	4247
586	6022	4237
587	6033	4227
588	6044	4217
589	6053	4206
590	6062	4195
591	6073	4185
592	6082	4174
593	6094	4165
594	6104	4155
595	6115	4145
596	6128	4137
597	6138	4126
598	6149	4116
599	6160	4107
600	6170	4096
601	6180	4085
602	6191	4076
603	6201	4066
604	6210	4054
605	6220	4044
606	6229	4033
607	6239	4022
608	6249	4012
609	6259	4002
610	6268	3991
611	6279	3981
612	6289	3970
613	6300	3960
614	6309	3949
615	6318	3938
616	6328	3928
617	6339	3918
618	6350	3908
619	6359	3897
620	6369	3887
621	6378	3876
622	6388	3866
623	6398	3855
624	6409	3845
625	6419	3835
626	6430	3825
627	6440	3815
628	6450	3804
629	6460	3794
630	6471	3784
631	6480	3773
632	6490	3763
633	6500	3752
634	6510	3742
635	6521	3732
636	6531	3722
637	6540	3711
638	6552	3701
639	6562	3691
640	6573	3681
641	6583	3670
642	6592	3660
643	6603	3650
644	6613	3639
645	6622	3628
646	6634	3619
647	6644	3609
648	6655	3599
649	6664	3588
650	6673	3577
651	6684	3567
652	6694	3557
653	6704	3547
654	6714	3536
655	6725	3526
656	6735	3516
657	6746	3506
658	6756	3496
659	6767	3486
660	6776	3475
661	6788	3465
662	6797	3455
663	6809	3445
664	6817	3434
665	6827	3424
666	6836	3413
667	6847	3403
668	6857	3393
669	6868	3382
670	6877	3371
671	6886	3361
672	6896	3350
673	6905	3340
674	6915	3329
675	6925	3319
676	6936	3309
677	6946	3299
678	6958	3289
679	6967	3278
680	6977	3268
681	6987	3257
682	6996	3247
683	7007	3237
684	7017	3226
685	7028	3217
686	7039	3207
687	7049	3197
688	7059	3186
689	7069	3175
690	7078	3165
691	7089	3155
692	7099	3145
693	7109	3134
694	7120	3124
695	7130	3114
696	7141	3104
697	7152	3094
698	7164	3084
699	7174	3074
700	7184	3064
701	7192	3053
702	7202	3042
703	7212	3032
704	7222	3022
705	7232	3011
706	7242	3001
707	7252	2990
708	7261	2980
709	7271	2969
710	7280	2959
711	7289	2948
712	7299	2938
713	7309	2927
714	7319	2917
715	7323	2904
716	7334	2894
717	7345	2885
718	7357	2875
719	7367	2864
720	7376	2854
721	7385	2843
722	7396	2833
723	7406	2823
724	7416	2813
725	7428	2803
726	7437	2793
727	7447	2782
728	7456	2772
729	7465	2761
730	7475	2750
731	7485	2740
732	7496	2730
733	7507	2720
734	7516	2710
735	7528	2700
736	7538	2690
737	7549	2680
738	7560	2670
739	7569	2659
740	7579	2649
741	7589	2639
742	7600	2629
743	7610	2618
744	7621	2608
745	7632	2598
746	7641	2588
747	7651	2577
748	7661	2567
749	7672	2557
750	7683	2547
751	7693	2537
752	7702	2526
753	7712	2516
754	7723	2506
755	7732	2495
756	7742	2485
757	7753	2475
758	7764	2465
759	7774	2455
760	7784	2444
761	7795	2434
762	7804	2424
763	7814	2413
764	7824	2403
765	7836	2393
766	7846	2383
767	7858	2373
768	7868	2363
769	7879	2353
770	7888	2343
771	7897	2332
772	7907	2322
773	7918	2312
774	7929	2302
775	7940	2291
776	7949	2281
777	7958	2271
778	7969	2260
779	7980	2250
780	7990	2240
781	8000	2230
782	8010	2220
783	8021	2209
784	8031	2199
785	8042	2189
786	8051	2179
787	8063	2169
788	8073	2159
789	8083	2148
790	8093	2138
791	8104	2128
792	8115	2118
793	8125	2108
794	8135	2097
795	8144	2087
796	8155	2077
797	8165	2067
798	8176	2056
799	8186	2046
800	8194	2035
801	8203	2025
802	8213	2015
803	8223	2004
804	8233	1994
805	8243	1984
806	8253	1973
807	8263	1963
808	8272	1953
809	8283	1942
810	8292	1932
811	8301	1921
812	8311	1911
813	8322	1901
814	8335	1892
815	8346	1882
816	8357	1872
817	8368	1861
818	8378	1851
819	8388	1841
820	8398	1831
821	8409	1820
822	8420	1810
823	8431	1800
824	8442	1790
825	8453	1780
826	8463	1770
827	8472	1759
828	8482	1749
829	8493	1739
830	8502	1729
831	8512	1718
832	8521	1708
833	8531	1698
834	8542	1688
835	8553	1678
836	8563	1667
837	8574	1657
838	8584	1647
839	8593	1636
840	8604	1626
841	8614	1616
842	8625	1606
843	8636	1596
844	8646	1585
845	8654	1575
846	8664	1565
847	8673	1554
848	8682	1544
849	8691	1533
850	8701	1523
851	8711	1513
852	8722	1503
853	8732	1492
854	8742	1482
855	8752	1472
856	8760	1461
857	8769	1451
858	8779	1441
859	8790	1430
860	8800	1420
861	8811	1410
862	8821	1400
863	8833	1390
864	8842	1380
865	8852	1369
866	8861	1359
867	8870	1348
868	8880	1338
869	8890	1328
870	8900	1318
871	8910	1307
872	8920	1297
873	8930	1287
874	8943	1277
875	8955	1267
876	8967	1257
877	8978	1247
878	8988	1237
879	8998	1227
880	9010	1217
881	9022	1207
882	9034	1197
883	9045	1186
884	9056	1176
885	9068	1166
886	9080	1156
887	9090	1146
888	9099	1136
889	9112	1126
890	9125	1116
891	9137	1106
892	9151	1096
893	9162	1086
894	9171	1075
895	9185	1066
896	9197	1056
897	9208	1045
898	9220	1035
899	9232	1025
900	9248	1016
901	9259	1006
902	9272	996
903	9283	985
904	9293	975
905	9306	965
906	9317	955
907	9327	945
908	9338	934
909	9349	924
910	9361	914
911	9372	904
912	9383	894
913	9392	883
914	9404	873
915	9417	863
916	9427	853
917	9437	843
918	9449	832
919	9459	822
920	9472	812
921	9482	802
922	9493	791
923	9502	781
924	9514	771
925	9527	761
926	9538	751
927	9550	740
928	9562	730
929	9572	720
930	9584	710
931	9596	700
932	9607	689
933	9619	679
934	9629	669
935	9642	659
936	9655	649
937	9666	638
938	9678	628
939	9690	618
940	9705	608
941	9717	598
942	9727	587
943	9738	577
944	9750	567
945	9765	557
946	9777	547
947	9789	536
948	9801	526
949	9815	516
950	9825	506
951	9836	495
952	9846	485
953	9857	475
954	9869	465
955	9882	454
956	9895	444
957	9906	434
958	9916	423
959	9927	413
960	9939	403
961	9952	393
962	9964	382
963	9975	372
964	9987	362
965	10002	352
966	10012	341
967	10021	331
968	10031	320
969	10042	310
970	10052	300
971	10065	289
972	10076	279
973	10088	269
974	10100	258
975	10113	248
976	10124	238
977	10135	227
978	10147	217
979	10159	207
980	10173	197
981	10183	186
982	10194	176
983	10205	165
984	10217	155
985	10227	145
986	10240	134
987	10252	124
988	10264	114
989	10277	103
990	10289	93
991	10300	83
992	10312	72
993	10324	62
994	10333	51
995	10346	41
996	10361	31
997	10373	20
998	10384	10
999	10396	0
